obj,type
0,Other
1,Other
10,Other
100,Other
1000,Other
1001,Other
1002,Other
1003,Other
1004,Other
1005,Other
1006,Other
1007,Other
1008,Other
1009,Other
101,Other
1010,Other
1011,Other
1012,Other
1013,Other
1014,Other
1015,Other
1016,Other
1017,Other
1018,Other
1019,Other
102,Other
1020,Other
1021,Other
1022,Other
1023,Other
1024,Other
1025,Other
1026,Other
1027,Other
1028,Other
1029,Other
103,Other
1030,Other
1031,Other
1032,Other
1033,Other
1034,Other
1035,Other
1036,Other
1037,Other
1038,Other
1039,Other
104,Other
1040,X-ray source
1041,X-ray source
1042,Other
1043,Other
1044,Other
1045,Other
1046,Other
1047,Other
1048,Other
1049,Other
105,Other
1050,Other
1051,Other
1052,Other
1053,Other
1054,Other
1055,Other
1056,Other
1057,Other
1058,Emission-line galaxy
1059,Other
106,Other
1060,Other
1061,Quasar
1062,Other
1063,Other
1064,Other
1065,Other
1066,Other
1067,Other
1068,Other
1069,Other
107,Other
1070,Other
1071,Other
1072,Other
1073,Other
1074,Other
1075,Other
1076,Other
1077,Other
1078,Quasar
1079,Other
108,Other
1080,Other
1081,Other
1082,Quasar
1083,Other
1084,Quasar
1085,Other
1086,Other
1087,Other
1088,Galaxy
1089,Galaxy
109,Other
1090,Other
1091,SuperNova
1092,SuperNova
1093,Other
1094,Other
1095,Other
1096,Other
1097,Quasar
1098,Other
1099,Quasar
11,Other
110,Other
1100,Quasar
1101,Other
1102,Other
1103,Other
1104,Other
1105,Other
1106,Other
1107,Other
1108,SuperNova
1109,Quasar
111,Other
1110,Other
1111,Other
1112,Quasar
1113,Other
1114,Quasar
1115,Other
1116,Other
1117,Other
1118,Other
1119,Other
112,Other
1120,SuperNova
1121,Other
1122,Other
1123,Other
1124,Other
1125,Star
1126,Other
1127,Other
1128,Star
1129,Quasar
113,Other
1130,Star
1131,Other
1132,Other
1133,White Dwarf
1134,Other
1135,Other
1136,Other
1137,Other
1138,Other
1139,Other
114,Other
1140,Other
1141,Other
1142,Other
1143,Other
1144,Emission-line galaxy
1145,Other
1146,Quasar
1147,Emission-line galaxy
1148,Other
1149,Star
115,Other
1150,Other
1151,Other
1152,Quasar
1153,Other
1154,Other
1155,Other
1156,Other
1157,Other
1158,UV-emission source
1159,Other
116,Other
1160,Other
1161,Other
1162,Radio Galaxy
1163,Other
1164,Star
1165,Other
1166,Other
1167,Quasar
1168,Star
1169,Other
117,Other
1170,Other
1171,Other
1172,Other
1173,Other
1174,Other
1175,Other
1176,Other
1177,Other
1178,Other
1179,Other
118,Other
1180,Other
1181,Other
1182,Other
1183,Other
1184,Other
1185,Other
1186,Other
1187,Other
1188,Other
1189,Other
119,Other
1190,Quasar
1191,Other
1192,Other
1193,Quasar
1194,Other
1195,Quasar
1196,Other
1197,Other
1198,Other
1199,Quasar
12,Other
120,Other
1200,Other
1201,Radio Galaxy
1202,Other
1203,Radio Galaxy
1204,Radio Galaxy
1205,Radio Galaxy
1206,Radio Galaxy
1207,Other
1208,Radio Galaxy
1209,Emission-line galaxy
121,Other
1210,Emission-line galaxy
1211,Other
1212,Other
1213,Other
1214,Other
1215,Other
1216,Other
1217,Quasar
1218,Emission-line galaxy
1219,Other
122,Other
1220,Quasar
1221,Other
1222,Other
1223,SuperNova
1224,Other
1225,Other
1226,X-ray source
1227,Emission-line galaxy
1228,Other
1229,Other
123,Other
1230,Other
1231,Other
1232,Other
1233,Other
1234,Other
1235,Other
1236,Other
1237,Other
1238,Other
1239,Other
124,Other
1240,Other
1241,Other
1242,Other
1243,Other
1244,Other
1245,Other
1246,Other
1247,Other
1248,Other
1249,Other
125,Other
1250,Other
1251,Eclipsing binary of W UMa type (contact binary)
1252,Other
1253,Cluster of Galaxies
1254,Other
1255,Other
1256,Other
1257,Other
1258,Other
1259,Other
126,Other
1260,Other
1261,Other
1262,Other
1263,Other
1264,Other
1265,Other
1266,Other
1267,Other
1268,Other
1269,Other
127,Other
1270,Other
1271,Other
1272,Other
1273,Other
1274,Other
1275,Other
1276,Other
1277,Other
1278,Other
1279,Other
128,Other
1280,Other
1281,Other
1282,Other
1283,Other
1284,Other
1285,Other
1286,Other
1287,Other
1288,Other
